user_id	customer_id	subscription_id	unique_user_id	device_id	program_id	program_name	normal_program_name	program_theme	program_subtheme	date_time_start	end_date_time	duration	device_type_used	offset	buffering	global_op_name	service_name	day	audio_language	subs_language	commercialization_type	producer	distributor	service_source	service_subtype	session_type	global_op_id	service_type	capture_day	channel_name	type	service
4f4c811503a114c133a75b278980604754f6d8db6a4ae3e41527af300a084ad4	""	""	87c1779b8b0d97fb4692c6b5090881e7adf88b0e7707a30e7943547ab409a89f	ee2edf1d7ade1002ef85103447339e347ba98063f3f2b0e0c7676bb7920a9b1c	9220930	OTRA SEMANA EN CARTOON T05-EP01	Otra semana en Cartoon T05-Ep01	Episode	Entertainment,Cartoons,Comedy	2021-11-15T02:15:33.000Z	2021-11-15T02:25:34.000Z	601	tvLg_no-Accedo	""	""	MOVISTAR CHILE	Go	2021-11-15	""	""	4	Turner CN	TSA	2	102	1	CL	1003	2021-11-15	NA	vod	ITV
4f4c811503a114c133a75b278980604754f6d8db6a4ae3e41527af300a084ad4	""	""	87c1779b8b0d97fb4692c6b5090881e7adf88b0e7707a30e7943547ab409a89f	ee2edf1d7ade1002ef85103447339e347ba98063f3f2b0e0c7676bb7920a9b1c	16621007	EL SHOW DE TOM Y JERRY T02-EP47	El show de Tom y Jerry T02-Ep47	Episode	Animation,Cartoons,Comedy	2021-11-15T01:33:57.000Z	2021-11-15T01:37:58.000Z	241	tvLg_no-Accedo	""	""	MOVISTAR CHILE	Go	2021-11-15	""	""	4	Turner CN	TSA	2	102	1	CL	1003	2021-11-15	NA	vod	ITV
16e8acafab656cb94663cb8f4b3eb5ddf35a8bdbaf3ca3607907a89cc0db9689	""	""	1c2a0762fcc857b223bf81c9322f5a156dd4636c4ca3d6af301776f8f3dc65bb	2bc999206b390ffe86ce296f44e29feddb7421b2ad461fcbe8e0fcd66d9dab13	16589988	ÉRASE UN DESVIO PROVISIONAL	Érase un desvio provisional	Episode	Comedy	2021-12-04T21:44:15.000Z	2021-12-04T22:04:15.000Z	1200	Chromecast	""	""	MOVISTAR CHILE	Go	2021-12-04	""	""	4	Atreseries	ANTENA3	2	102	1	CL	1003	2021-12-04	NA	vod	ITV
8131f779452e893393cd4f500bf35aa74c12058740d2b846df0b6a7109e7154c	""	""	6e38efd8a43467e34c2a62076226ea731cec7fd8b3886b178ba725eba9270bbb	e2e065c46d41bff1131fefb2dfa9738ad20bdc89643833606f8337bdfdc2cbd8	17725861	VÍA PÚBLICA	Vía pública	Movie	Interview,Politics	2021-12-04T03:48:01.000Z	2021-12-04T04:10:49.000Z	1368	tvSamsung_2017+	""	""	MOVISTAR CHILE	Go	2021-12-04	""	""	6	""	24 Horas	2	102	1	CL	1003	2021-12-04	NA	vod	ITV
8131f779452e893393cd4f500bf35aa74c12058740d2b846df0b6a7109e7154c	""	""	6e38efd8a43467e34c2a62076226ea731cec7fd8b3886b178ba725eba9270bbb	e2e065c46d41bff1131fefb2dfa9738ad20bdc89643833606f8337bdfdc2cbd8	17868985	TOLERANCIA CERO	Tolerancia cero	Movie	Interview,Politics	2021-12-13T06:11:24.000Z	2021-12-13T07:37:24.000Z	5160	tvSamsung_2017+	""	""	MOVISTAR CHILE	Go	2021-12-13	""	""	6	""	CNN Chile	2	102	1	CL	1003	2021-12-13	NA	vod	ITV
4f4c811503a114c133a75b278980604754f6d8db6a4ae3e41527af300a084ad4	""	""	87c1779b8b0d97fb4692c6b5090881e7adf88b0e7707a30e7943547ab409a89f	ee2edf1d7ade1002ef85103447339e347ba98063f3f2b0e0c7676bb7920a9b1c	9221054	OTRA SEMANA EN CARTOON T05-EP02	Otra semana en Cartoon T05-Ep02	Episode	Entertainment,Cartoons,Comedy	2021-12-13T02:07:20.000Z	2021-12-13T02:19:21.000Z	721	tvLg_no-Accedo	""	""	MOVISTAR CHILE	Go	2021-12-13	""	""	4	Turner CN	TSA	2	102	1	CL	1003	2021-12-13	NA	vod	ITV
4f4c811503a114c133a75b278980604754f6d8db6a4ae3e41527af300a084ad4	""	""	87c1779b8b0d97fb4692c6b5090881e7adf88b0e7707a30e7943547ab409a89f	ee2edf1d7ade1002ef85103447339e347ba98063f3f2b0e0c7676bb7920a9b1c	9221053	OTRA SEMANA EN CARTOON T05-EP04	Otra semana en Cartoon T05-Ep04	Episode	Entertainment,Cartoons,Comedy	2021-12-13T02:31:33.000Z	2021-12-13T02:43:33.000Z	720	tvLg_no-Accedo	""	""	MOVISTAR CHILE	Go	2021-12-13	""	""	4	Turner CN	TSA	2	102	1	CL	1003	2021-12-13	NA	vod	ITV
fa4965168af866de6dfb1e32562dda37a9232818d812acd081b427a98f9d4478	""	""	a9ff8418e1073e85f2d8ca9f0a376b8f97e58173ac7e9deeca90ef2bcf6061c8	3ac294a623b6e8ea1fa1c1bfc4971a05cc5a0b2921ea543f3f51b013ce8bcd11	11923219	RASTROS DE MENTIRAS T01-EP01	Rastros de mentiras T01-Ep01	Episode	Drama	2021-11-03T23:43:17.000Z	2021-11-03T23:59:17.000Z	960	tvSamsung_2017+	""	""	MOVISTAR CHILE	Go	2021-11-03	""	""	4	Atreseries	ANTENA3	2	102	1	CL	1003	2021-11-03	NA	vod	ITV
23deb14ae3c80e5e57eceef709d49bf43642e3f098291f288ecfe498d4043b89	""	""	6765b86a77cbd0f34b437fe6e25e6c6e066bb8353d64fc7a0d2b40fd163ddc3c	d581bbc97db8f106733b7838219bfba077c70be1411836f40d75f9b532d9f39e	1717650	LAURA - WEEK ONE	Laura - Week One	Episode	Drama	2021-12-13T16:51:02.000Z	2021-12-13T16:59:02.000Z	480	sphAndroid	""	""	MOVISTAR CHILE	Go	2021-12-13	""	""	7	HBO ENTERPRISES	HBO	2	102	1	CL	1003	2021-12-13	NA	vod	ITV
cb402bad8f94c88335411e1f5af8210d7f6c89deb408bd0b35e9a6835ab93136	""	""	e816a246c312eb5604bf837f617112c3d83072b683f9aa00f221256310395bcd	5609281b7d0c745ee221b11ac4035ec56aa7033ffcee07a0bcdc351413c7a105	17875951	LAS AVENTURAS DE PILAR : PEGASO	Las aventuras de Pilar : Pegaso	Movie	Adventure,Animation,Children	2021-12-13T17:06:10.000Z	2021-12-14T00:00:10.000Z	24840	tvAndroidTv	""	""	MOVISTAR CHILE	Go	2021-12-13	""	""	6	""	Nat Geo Kids	2	102	1	CL	1003	2021-12-13	NA	vod	ITV
