customer_id,subscription_id,unique_user_id,mr_device_id,channel_call_letter,channel_name,channel_type,channel_subtype,program_id,program_name,normal_program_name,program_theme,program_subtheme,date_time_start,end_date_time,program_start,program_end,device_type_used,real_start_time,real_session_duration,global_op_name,service_name,day,audio_language,subs_language,mib_id,producer,distributor,service_source,service_subtype,session_type,global_op_id,service_type,capture_day
,,b0f773b36d1998394d2d639c3148dd91e29b089007b8cf2306bb507ddd56455b,d7e47fc3e45900ccef547110b4e5641d4ce49a295ed951ef264c2518be9270b9,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T09:34:10Z,2020-12-15T11:30:00Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T09:34:10Z,14364598,VIVO BRASIL,IpTv,2020-12-15,,,7fb09d7988b7cff8052ba4b9c63db9df927acaaa0729935209f40c431812f5ba,,,1,301,1,201,1001,2020-12-16
,,dbfe66aef99f6823daac0419a785d79f353b5325cc91ddafa6e69557dfcfc816,e34e370120a5727a4af2fcc43a4fff8e3c3d97525ac9d1ac0f8b706dd7bb6ef4,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T10:17:45Z,2020-12-15T11:30:00Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T10:17:45Z,14364058,VIVO BRASIL,IpTv,2020-12-15,,,ea378e4127bec0cf9dcdac61c11433b92d2594e6fcbba327899b9e14d7ec68d7,,,1,301,1,201,1001,2020-12-16
,,167d60955a37e840c4d050da0b5ff82c18092562ad9d580f2b19f7063bce59f8,682bb471ca63a7b12f96e278fee3372301aeed171fd344c52690468a472ce4da,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T09:00:00Z,2020-12-15T10:32:50.120Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T06:32:24Z,14426120,VIVO BRASIL,IpTv,2020-12-15,,,e9be545ed46220e8e77bc9b254256185717b17759f88e27e59f94d25cbd9737b,,,1,301,1,201,1001,2020-12-16
,,53c6a0b6f7be71e22cb042dabb76c4548e19504f2a1768723b6622950039fbff,6a84599f711d48aaf5891b0a3c93ed667967039142557620bd5a774862716a7c,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T11:10:14Z,2020-12-15T11:30:00Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T11:10:14Z,14365540,VIVO BRASIL,IpTv,2020-12-15,,,0454d8fc05ffc5073effd818856384cb310a190d78d039eebf4659534d592cad,,,1,301,1,201,1001,2020-12-16
,,90b90466b24f90176bc79edd97edd24a7dd6e22434d12a03c550984cf288f41f,5d077a0074326af0dea9889cd0ec3d6e41a20b1d261eb9da62a92cfda49bc8f0,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T08:28:06Z,14366841,VIVO BRASIL,IpTv,2020-12-15,,,b101eb1575cd5dc1fb2be6f0b5f90a1b89abd09d0a2071b2614ead9564ab197f,,,1,301,1,201,1001,2020-12-16
,,616d2f62bea133d7780fc6313a47598c40bb493f22f4928b32302a8948264747,59645652a749b1713a02fa837cd206bc07a2f23686225fe48057da92dee788d6,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T04:09:57Z,99963411,VIVO BRASIL,IpTv,2020-12-15,,,049ac774716a3411e8020de366d3830c70afce628de5a074f460d8cedd88f0bb,,,1,301,1,201,1001,2020-12-16
,,8c11fde5c8b362ece3989486cce07b214bccc7d2e06297f557f5f93fe2ff8e2d,06fd52809b9b9ba09bdbc93d30e280736ca055a53d271f087dc34cf6402657b8,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T10:19:46Z,2020-12-15T11:30:00Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T10:19:46Z,12147456,VIVO BRASIL,IpTv,2020-12-15,,,4f96aefdc7af6a30c6d971f6d1037f020ed271138761820a491abaaee48af525,,,1,301,1,201,1001,2020-12-16
,,f7e068fb8c7ed11f61e33fba2e2fb1fac0cb48b1709fd042f1eb1d63206ae698,ed568922cd4185819b801856a62b2aed620cfaef6fa2fa8f52fc1646e1b124c9,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T09:00:00Z,2020-12-15T10:02:41.695Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T06:02:18Z,14423695,VIVO BRASIL,IpTv,2020-12-15,,,0539c3b7019d1b7712a8e78316c9b596db9d757cfc05d0fc7be86993a44d4e7c,,,1,301,1,201,1001,2020-12-16
,,e6a5abaf6cb12d86dabab2196e8ce37412b7d114e271bc5f4e1f7cd319b3348c,8b22568a07c96a415ca630799088a786a1ff6dd8270e060b63191c2ce908f187,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T10:42:33Z,2020-12-15T11:30:00Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T10:42:33Z,6567208,VIVO BRASIL,IpTv,2020-12-15,,,5660ed341da77124390192845fe8f08be31be8375cabfa02738c38e79b2f2d10,,,1,301,1,201,1001,2020-12-16
,,325df4149e6689de43739bf3f7ac86ec53a3f31aa86c8ef1f9964c1c2ba3af8d,488d7603d820acb355b4ca2c832827584d6966865d8d0874399a1c54518d81d0,HDGLO,HDGLO,,,258822496,Bom Dia São Paulo,Bom Dia São Paulo,News,News,2020-12-15T09:00:00Z,2020-12-15T09:20:57.334Z,2020-12-15T09:00:00Z,2020-12-15T11:30:00Z,Mediaroom,2020-12-15T05:20:36Z,14421334,VIVO BRASIL,IpTv,2020-12-15,,,910aee1a94351e932e30470946be9fec3c72f8120e0e921d466cba3e85227aac,,,1,301,1,201,1001,2020-12-16
